ind x y
1 12.000000 140.000000
2 100.000000 150.000000
3 50.000000 217.000000
4 143.000000 107.000000
5 288.000000 139.000000
6 211.000000 43.000000
7 84.000000 248.000000
8 288.000000 147.000000
9 298.000000 282.000000
10 248.000000 130.000000
11 117.000000 181.000000
12 270.000000 45.000000
13 87.000000 114.000000
14 126.000000 214.000000
15 215.000000 268.000000
16 134.000000 217.000000
17 231.000000 161.000000
18 260.000000 273.000000
19 200.000000 89.000000
20 10.000000 268.000000
21 210.000000 243.000000
22 96.000000 99.000000
23 201.000000 199.000000
24 42.000000 213.000000
25 75.000000 260.000000
26 164.000000 193.000000
27 198.000000 227.000000
28 11.000000 257.000000
29 216.000000 222.000000
30 158.000000 233.000000
31 94.000000 10.000000
32 57.000000 252.000000
33 86.000000 31.000000
34 12.000000 282.000000
35 79.000000 194.000000
36 133.000000 241.000000
37 267.000000 218.000000
38 111.000000 105.000000
39 1.000000 30.000000
40 117.000000 164.000000
