nbreItr   nbreCoverSet  iterTime(ms)
1  69  370
2  100  211
3  100  386
4  100  231
5  100  200
6  47  1055
7  77  231
8  100  454
9  100  230
10  100  450
11  100  322
12  100  263
13  100  421
14  100  275
15  100  234
16  100  214
17  100  321
18  95  221
19  100  319
20  43  442
21  100  451
22  100  348
23  72  544
24  100  222
25  70  472
26  13  215
27  100  210
28  100  212
29  100  206
30  100  244
31  100  691
32  100  327
33  100  216
34  100  274
35  100  259
36  92  238
37  80  258
38  83  279
39  72  313
40  75  239
41  72  235
42  78  240
43  43  252
44  60  362
45  48  313
46  45  235
47  67  274
48  81  264
49  65  276
50  76  295
51  25  271
52  30  252
53  39  251
54  31  249
55  34  263
56  73  276
57  50  263
58  38  278
59  44  282
60  50  311
61  35  306
62  0  259
nbreItr   nbreCoverSet  iterTime1  80  604
2  100  365
3  100  577
4  100  303
5  100  302
6  47  562
7  100  539
8  100  356
9  82  270
10  100  523
11  100  398
12  100  299
13  100  312
14  100  292
15  38  424
16  100  217
17  100  225
18  58  2237
19  100  289
20  88  282
21  100  223
22  100  306
23  100  648
24  100  245
25  100  421
26  7  242
27  99  280
28  100  267
29  100  253
30  100  234
31  99  283
32  100  267
33  99  245
34  100  261
35  74  267
36  85  408
37  95  276
38  73  288
39  81  281
40  49  307
41  57  252
42  23  295
43  26  282
44  74  277
45  39  240
46  76  349
47  11  265
48  19  287
49  61  295
50  63  272
51  61  263
52  36  243
53  65  284
54  39  279
55  58  292
56  60  304
57  70  292
58  31  473
59  2  284
60  80  268
61  53  552
62  76  295
63  50  310
64  58  323
65  53  304
66  81  314
67  71  305
68  0  334
1  87  241
2  100  231
3  100  443
4  100  237
5  100  204
6  47  501
7  100  301
8  100  273
9  91  234
10  100  319
11  100  396
12  100  386
13  100  373
14  100  222
15  100  205
16  100  442
17  71  464
18  100  299
19  100  250
20  100  266
21  100  317
22  98  293
23  46  438
24  89  1939
25  100  344
26  100  497
27  100  526
28  100  239
29  100  210
30  100  246
31  100  267
32  100  210
33  100  275
34  100  719
35  100  286
36  87  237
37  91  268
38  85  264
39  26  270
40  28  268
41  72  256
42  64  352
43  67  282
44  5  256
45  6  264
46  6  256
47  7  290
48  8  249
49  6  266
50  10  260
51  7  271
52  62  291
53  46  270
54  12  277
55  15  296
56  42  255
57  43  250
58  45  279
59  49  267
60  57  335
61  61  281
62  0  286
1  81  381
2  100  237
3  100  438
4  100  237
5  47  459
6  100  431
7  100  212
8  100  249
9  100  406
10  100  252
11  100  511
12  100  213
13  100  236
14  100  236
15  100  411
16  100  271
17  100  2041
18  100  238
19  100  235
20  100  283
21  100  375
22  100  397
23  99  209
24  96  289
25  100  224
26  100  334
27  100  356
28  100  246
29  100  483
30  100  245
31  100  311
32  100  918
33  100  269
34  99  322
35  99  248
36  95  378
37  100  320
38  99  282
39  94  320
40  99  252
41  79  343
42  89  245
43  85  275
44  88  280
45  77  276
46  66  298
47  68  314
48  74  275
49  40  291
50  72  313
51  80  284
52  53  271
53  34  356
54  37  291
55  51  351
56  16  301
57  63  314
58  6  281
59  5  278
60  19  298
61  64  294
62  63  366
63  21  289
64  66  398
65  68  282
66  33  278
67  63  539
68  77  278
69  71  351
70  52  293
71  6  263
72  63  273
73  78  311
74  5  278
75  25  289
76  33  292
77  58  277
78  57  444
79  20  291
80  51  325
81  72  280
82  69  262
83  12  268
84  0  309
1  92  238
2  100  351
3  100  446
4  100  234
5  100  213
6  46  523
7  100  263
8  100  261
9  80  233
10  100  295
11  100  329
12  100  348
13  100  309
14  71  502
15  100  197
16  72  579
17  100  284
18  42  344
19  100  260
20  100  413
21  100  280
22  98  346
23  100  390
24  100  321
25  100  391
26  100  1604
27  100  227
28  92  1376
29  99  248
30  100  258
31  100  320
32  98  497
33  100  247
34  100  281
35  77  248
36  87  269
37  16  235
38  73  320
39  68  296
40  0  280
1  80  238
2  100  409
3  100  500
4  100  213
5  47  520
6  100  437
7  100  207
8  100  249
9  100  292
10  100  273
11  100  340
12  100  348
13  100  412
14  100  227
15  100  274
16  71  502
17  71  579
18  76  1742
19  100  499
20  99  304
21  76  289
22  88  733
23  99  225
24  100  281
25  100  280
26  100  248
27  100  484
28  23  268
29  100  472
30  100  299
31  100  249
32  99  228
33  100  1202
34  100  269
35  100  283
36  100  429
37  88  271
38  95  342
39  76  261
40  45  266
41  17  334
42  62  277
43  78  284
44  0  313
